评论ID,原始评论,来源,分析方面,观点概括,情绪,原文证据,业务动作,置信度,互动量
zh001,"白天拍照很清晰，但视频通话时电量掉得太快。",京东,拍照表现,白天拍照清晰,正面,白天拍照很清晰,把白天拍照效果作为卖点,高,42
zh001,"白天拍照很清晰，但视频通话时电量掉得太快。",京东,续航表现,视频通话耗电快,负面,电量掉得太快,测试视频通话耗电并优化续航预期说明,高,42
zh002,"户外屏幕很亮，滑动也很流畅，但是玩游戏十分钟后手机会发烫。",天猫,屏幕表现,户外屏幕亮,正面,户外屏幕很亮,突出户外可读性,高,58
zh002,"户外屏幕很亮，滑动也很流畅，但是玩游戏十分钟后手机会发烫。",天猫,流畅度,滑动流畅,正面,滑动也很流畅,把流畅度作为性能证明点,高,58
zh002,"户外屏幕很亮，滑动也很流畅，但是玩游戏十分钟后手机会发烫。",天猫,散热表现,游戏后手机发烫,负面,手机会发烫,排查游戏发热和散热策略,高,58
zh003,"人脸解锁很快，但手指稍微湿一点时指纹解锁就失败。",小红书,人脸解锁,人脸解锁快,正面,人脸解锁很快,保留人脸解锁速度作为便利性卖点,高,31
zh003,"人脸解锁很快，但手指稍微湿一点时指纹解锁就失败。",小红书,指纹解锁,湿手指纹解锁失败,负面,指纹解锁就失败,优化湿手识别或引导使用人脸解锁,高,31
zh004,"我喜欢小巧机身，不过通话时扬声器听起来有点单薄。",抖音,机身尺寸,喜欢小巧机身,正面,小巧机身,突出单手使用和便携体验,高,25
zh004,"我喜欢小巧机身，不过通话时扬声器听起来有点单薄。",抖音,扬声器音质,通话扬声器单薄,负面,扬声器听起来有点单薄,测试通话扬声器调音并查看客服反馈,高,25
zh005,"这个存储容量对应的价格还算公道，但充电差不多要两个小时。",微博,存储价格,存储价格公道,正面,价格还算公道,清晰表达存储容量性价比,高,17
zh005,"这个存储容量对应的价格还算公道，但充电差不多要两个小时。",微博,充电速度,充电耗时接近两小时,负面,充电差不多要两个小时,复查充电速度预期和充电器说明,高,17
